name,rating,category
Al Rehman Hotel,4.375,Hotels
Hotel Royal Lodge,3.4166666666666665,Hotels
Malinum Grande Guest House,3.442857142857143,Hotels
Hotel Almarkaz islamabad,3.83,Hotels
BnB Hotel,3.98989898989899,Hotels
Roomi lodge hotel & Guest House Islamabad,4.6909090909090905,Hotels
Family couple Hotel,4.568181818181818,Hotels
Hotel Royal Gardens,4.443037974683544,Hotels
Best Western Premier Hotel,3.920353982300885,Hotels
HOTEL SHANZE INN GULBERG,3.744444444444445,Hotels
HotelH6,4.611111111111111,Hotels
Islamabad Regalia Hotel,4.428571428571429,Hotels
RM Guest House,4.5588235294117645,Hotels
Hotel Bakhshi Tower,3.4683544303797467,Hotels
Premier Inn Excutive,4.165217391304348,Hotels
Hotel Al-Awan,3.6666666666666665,Hotels
New Gulberg View Inn,3.433333333333333,Hotels
Homey Islamabad,3.733333333333333,Hotels
Reina Paradise Inn Hotel,4.15,Hotels
Ambassador Suites Islamabad,3.857142857142857,Hotels
Ultra Luxury Studio Gold Crest DHA Lahore,4.1,Hotels
Brand New 2 Bed Apartment near Shaukat Khanum,4.983333333333333,Hotels
Hotel Sanai,3.07,Hotels
Midways Guest House and hotel,3.86,Hotels
The Royal Crown Hotel Montgomery Park,4.420289855072464,Hotels
"Hotel One Super, Islamabad",4.102564102564102,Hotels
Haidery Internationl Hotel,4.3,Hotels
Viridi Hotels,4.329545454545454,Hotels
Parkway Hotel,4.3,Hotels
Hotel Sky Inn,4.183333333333334,Hotels
Royal Luxury Hotel,4.147058823529412,Hotels
White Lodge Islamabad,3.7,Hotels
Midland Hotel,4.075,Hotels
Elite Elegance Inn,4.6075949367088604,Hotels
Crown Palace Inn,3.55,Hotels
LOKAL Rooms x MM Alam,3.657142857142857,Hotels
Hotel Alpine Faizabad,4.083333333333333,Hotels
"Ambassador Hotel, Lahore-Pakistan.",4.149253731343284,Hotels
Decent Palace Hotel,4.725,Hotels
The Margala,4.370967741935484,Hotels
Regency Inn Hotels,4.7105263157894735,Hotels
Royal Regency Hotel,3.932584269662921,Hotels
Hotel Grand INN,4.661016949152542,Hotels
Luxe Suites Bahria Town Lahore,4.54,Hotels
Magnolia Boutique House,4.675,Hotels
Hotel The Oriel Islamabad,4.294117647058823,Hotels
Hotel Dream Palace,3.8793103448275854,Hotels
Visit Inn Hotel,4.304347826086956,Hotels
Al wasay Hotel,3.6666666666666665,Hotels
Hotel One Garden Town,3.928571428571429,Hotels
Motorway Majesty Suites,4.76,Hotels
Signature Inn,4.1,Hotels
Majestic Family Lodges Guest,4.36734693877551,Hotels
Continental Boys Hostel Johar Town,4.7,Hotels
Hotel Apartments and Guest House in Islamabad by Vacantals,4.375,Hotels
Panoramic Hotel Lahore,4.627906976744186,Hotels
Hilton Inn Hotel,3.442857142857143,Hotels
"The Polo Residence, Lahore, Near Allama Iqbal International Airport (Apartment)",3.75,Hotels
Ultra muse Studio Apartment,3.8,Hotels
MORBEX INN HOTEL,3.98989898989899,Hotels
King's Hotel,4.279411764705882,Hotels
Hotel Pak Inn Two,4.794871794871795,Hotels
Royal Inn,4.568181818181818,Hotels
Royal Hayat Hotel,3.391304347826087,Hotels
Burj ul Zaki,4.443037974683544,Hotels
Dreamland Hotel,3.744444444444445,Hotels
Eden plus 2,3.7,Hotels
Hotel 8,4.5588235294117645,Hotels
Family Hotel Lahore,4.310344827586207,Hotels
Divine Hotel DHA,3.4683544303797467,Hotels
Ambassador Hostel Johar Town,4.64,Hotels
AK Hotel of Guest House,4.785714285714286,Hotels
OWN IT - 2 bedroom apartment ORANGE,3.6666666666666665,Hotels
Motorway Majesty Suites Islamabad - Near Islamabad International Airport and Motorway - Presidential Suite,3.433333333333333,Hotels
Shelton Boulevard Islamabad,4.15,Hotels
Hotel Royal Lahore,3.954545454545455,Hotels
Cadillac Hotel,4.1,Hotels
Westin Suites,3.7,Hotels
Alpha Guest House,4.983333333333333,Hotels
British Hotel,3.44,Hotels
Elegant Hotel,3.07,Hotels
Shah Taj Hotel,4.282051282051282,Hotels
MadCrew Lodge,4.420289855072464,Hotels
Royal Chelet Family Guest House,4.2375,Hotels
Margalla Hills Guest house,4.3,Hotels
Neshaz Hotel & Suites,3.774647887323944,Hotels
HOTEL STAR,4.3,Hotels
Hotel Nova,4.3826086956521735,Hotels
Safari Club 1,4.147058823529412,Hotels
Shelton Residency,4.422222222222223,Hotels
Islamabad Hill Hotel and Cafe,4.075,Hotels
Ballagio Islamabad,3.657142857142857,Hotels
The Pearl Inn - HOTEL,4.266666666666667,Hotels
Hotel Mall INN,4.46,Hotels
Coral Lodge,4.149253731343284,Hotels
